text,classification
.No history of fakestinians.  Jewish history...,0
.No history of fakestinians.  Jewish history...,0
.No history of fakestinians.  Jewish history...,0
⁦@HighwoodPrim4P⁩ Holly’s drawing of Zog.,0
"‌Honestly, Harry is not a Zionist ... His fans are when they hate him #CongratulationsHarry #ProudOfHarry",1
‘Christ’ means Messiah. We Muslims don’t deny he is The Messiah. It is the Jews who deny that.,1
“Director of hasbara” he’s a Talpion working hand-in-globe with the evillest apparatuses of the US ZOG.,1
"“There is neither Jew nor Greek, there is neither slave nor free, there is no male and female, for you are all one in Christ Jesus” (Galatians 3:28).",0
“There’s a correct way to talk to Zionist Jews...” is he supposed to be leading by example? 😏,1
"“this guy is an asshat” for suggesting people wear yellow badges, whereas @delbigtree @HighWireTalk proudly defamed millions of Jews by promoting the exact same idea, while denying genocide to promote fake vaccine injury and deaths.",0
"""...encouraging a militant Israeli and U.S. foreign policy in the Middle East.""  I think it says a lot about this Zionist organization u show me. Also, how it's not only bias but how racist and bigoted it is. It's credibility: lost  ",1
"""'No,' says the man in Moscow, 'it belongs to the Jews.'"" ",1
"""'No,' says the man in the Vatican, 'it belongs to the Jews.'"" ",1
"""'No,' says the man in Washington, 'it belongs to the Jews.'"" ",1
"""A year went by and in Year Two the dragons learned to roar."" Base 2 Reception bubble continued their dragon training today. #zog #dragons ",0
"""All the Dragons in Year 1 were learning how to fly.""  Base 2 Bubble read the story Zog today and became dragons ourselves! #zog #dragons ",0
"""Apartheid?"" The third largest party in the Knesset is the Palestinian Joint List Party. How many Jews and other minorities are represented in the PA, Hamas, and in governments of nations surrounding Israel? ",0
"""Apartheid?"" The third largest party in the Knesset is the Palestinian Joint List Party. How many Jews and other minorities are represented in the PA, Hamas, and in governments of nations surrounding Israel? ",0
"""As a Jew, I admire the commitment to community that is so prevalent amongst members of the Church of Jesus Christ Latter Day Saints."" #testimonialtuesday #allfaithonefamily ",0
"""Berlin has been under Zionist control for a very long time"". ",1
"""During WW2, two Polish doctors saved 8,000 Jews from the Holocaust by faking a typhus epidemic. German armed forces, afraid of spreading the disease, chose not to enter their town.""  And this just gets better! Y'all know this though!!  Think about what President Trump is saying! ",0
"""Happiness in not made by what we own. It is what we share."" Rabbi Jonathan Sacks ""Celebrating Life, p. 49"" #hereforyouhereforgood #jewishlife #jewish #jfgd #collective #jewishdallas ",0
"""it’s not Greece’s anymore"". Just like Israel isn't Palestine anymore, right, miss ""#FreePalestine"" ? (In reference to your bio). And I bet that if one day the Israelis would turn Al Aqsa into a Synagogue, you would also ask ""why is it such a big thing? Genuinely asking"". Right ? ",0
"""penny pincher"" and the multiple implications he is money hungry, using harry for money etc. one of the most basic anti-semitic beliefs is that jewish people are greedy people who control everything. ",1
"""share common ancestors with Zionists"" freudian slip lol.  Jews are closer to Arabs than to EUropeans but cluster with each other, Samaritans, Druze.  And the land was partitioned between the Jews and the Arabs. You can't have it all. ",0
"""W-wait, Israel aided the Christian militias?  I don't know man, i don't want people to call me a zionist.  D-does this mean i have to like Israel"" Some people really buttblasted about that photo pfft. ",1
"""We're not antisemitic, we're only anti-Zionist."" ",1
"""Who said they were Zionists?""   I don't know maybe the people proudly displaying the Israeli flag. ",0
(The idea of ZOG is adopted/adapted from a turn of the 20th century (Russian) Czarist “forgery which has proven to be the most resilient piece of disinformation in history” that was disseminated worldwide and translated into multiple languages by the KGB),0
"[The Thing #9, Mar. 1984] I guess Ben Grimm is now a reincarnated Hebrew slave?! I have no idea where this story is going. [#cmro M5516]",1
"@bradybuzz’s Kelly Sampson, &amp; @fred_guttenberg is just 2 DAYS AWAY!   Have you registered yet?   Sign up today at",0
@coi_papa's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0
@coi_papa's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0
@coi_papa's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,1
@coi_papa's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0
@coi_papa's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0
@DSDloveyou @FatFreds_Cat @sharkdiveruk  @lackboys3 @Fab29292929 @Scripteladora  @JewSkee @peterproud9 @h7n33n @a_zionist,1
@DYORPodcast @legend_zog   @SmartTrekken  @BTradez  @Laurianna90  @dragonwolftech  @mrjberlin  @BlakeRizzo24  @DJWarrenYoung  @PeterMcCormack  @_BitcoinPeople   @naomibrockwell  @mysticaloaks @PayneFullHuman  @SatoshiProof @CryptoWendyO  @CryptoFinally,0
@GOldfleet,0
@I_Make_Lemonade @_CLINTWESTWOOD_  @OJohnred  @DaddyCool1991  @johnkim77  @jonnylitecoin  @JosephA49774906   Litewallet addy:  LS7k8tSLBj7rpD3MghchWMFteNUhKSJP5U,0
@kraigkelly's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0
@lisamightydavis @CryptoNana4LTC  @jonnylitecoin @DaddyCool1991,0
//Hrar'zog Stone Fist//  Probably my best work of all. It will be hard to surpass yourself...  Last month. #orc #worldofwarcraft #wow,0
"&amp; @ChapPetersen? Didn't I give them my @EricCantor Ukrainian Jew Status for J-Street, @EFillerCorn? Anyway, focusing w/ @DHSgov, @USGS Rare Earths, &amp; hitting those Supply Chains w/ @DarrellIssa..?",0
"&amp; @TMFaithful have politically–demanded for. Zionists (a Christian &amp; ""Jewish"", non–theologian clan) in “Israel” &amp; the diaspora, be educated that, the Hebrew (Jewish) &amp; New Testament (Christian) Bibles, DON'T specify a divinely–commanded, region or location,... ⅚ ",0
"&amp; her students share, We Have Worked Hard to Become Good Digital Citizens in French &amp; Hebrew!",0
&gt;'THEY_LIVE'&gt;Z.ombie-O.ccupied-G.lobe/ZOG&lt;,0
"##DeclansLaw #medomsley #CuanOrg #grubbystarmer Pedophile grooming gangs? Labour leader &amp; the curious case of rod hill's  labour  York abuser,blackmailer, lier and cheat ?  CPS 19 criminal charges against him dropped deemed not in the public interest? Hills Vs Young and Curran ?",0
#AD Zog and the Flying Doctors is currently £4 at Amazon for the paperback version! &gt;&gt;&gt;,0
#AIPACS chosen #zionist  #BDS,1
#Akehurst likes to think of himself as a #Zionist #Shitlord! I’d prefer to call him a #WhiteSupremacist #Cnut! #ApartheidIsrael #Palestine #Falastin #SettlerColonialism #Gaza #OPT #WarCrimes #CrimesAgainstHumanity #Apartheid #Zionism #Racism,1
#Amphiist #antisemitism #Jews,0
"#ApartheidIsrael's #Palestine #illegal land grab. Clearly, #USA and #Europe do not understand #empathy and #crimes.   #KnowYourHistory #KnowledgeIsPower #CrimesAgainstHumanity #Israel #Zionists #PalestiniansLivesMatter #FreePalestine",1
#art #worldofwarcraft #dwarves #bronzebeard #orcs #blackrock,0
#BBC 'peado licence' ✌🏼,0
#Beirut_Explosion #Corruption - Your Corruption is killing us alive !!!!!,0
#cantbreath #ICantBreath #infamous #lastwords #ICantBreath #SynTheticMedia why can we all pronouce there #names 🤷🏻‍♂️ Loves conqoures all Zig Zig #Zog,0
"#DailyDevotion In Yashua (Jesus) Are Jew &amp; Gentile Made One People  Isaiah 566And the strangers who join the LORD to be His servants and bless the LORD's name, those who keep the Sabbath and cling to My covenant - 7I will also bring them to My holy",0
#DefineItToFightIt Yesterday on Facebook's 'Truthers against Zionist Lobbies'.,1
"#DocumentingIsraeliCrimes Armed #zionist thugs of the illegal tribal #yiddish colony of #apartheidisrael shot dead young #Palestinian mother of two young children Dalia Smoudi, 23, at her window as she was preparing food for her child.",1
#EYFS #MathsEveryoneCanAtHome #Day3 #homeschooling,0
#EYFS #MathsEveryoneCanAtHome #Day4 #homeschooling,0
#EYFS #MathsEveryoneCanAtHome #Day5 #homeschooling,0
"#GlobalChangemaker: The only true #holocaust of 20th century: #Russia. #HistoricalFiction &amp; #ideologicalsubversion fed the masses to make #Zionists look like #victims, using it as #blackmail to #Europe &amp; #USA to get whatever they want, incl. #Palestine lands for decades. #Israel",1
#Group4Palestine #BlackLivesMatter #PalestiniansLivesMatter This is how European Zionists came years ago to occupy Palestine...And this is how they are going to leave Palestine  Very very soon... From the river to the sea Palestine will be Free ✌️🇵🇸🇵🇸🇵🇸✌️,1
#inquisitive,0
#ISIS ZIONIST SEWER #TRASH ! SHARED FROM #ISIS PROPAGANDA ACCOUNT !,1
"#JewishGift ideas from #isralove - #MazelTov - Hebrew Letters 5"", Hebrew Alphabet, Passover Gifts, Jewish Baby gift, Nursery, Wooden Letters, Wall Decal, Brit Milah, Mitzvah, isralove by isralove ",0
"#JewishGift ideas from #isralove - #MazelTov - Jewish Birth Certificate, Baby Boy Gift, baby naming, Hebrew, Personalized birth announcement, Newborn Blessing, Jewish Nursery Wall Art by isralove",0
"#JewishGift ideas from #isralove - #MazelTov - Jewish Birth Certificate, Baby Boy Gift, baby naming, Hebrew, Personalized birth announcement, Newborn Blessing, Jewish Nursery Wall Art by isralove",0
"#JewishGift ideas from #isralove - #MazelTov - Jewish Birth Certificate, Baby Girl Gift, baby naming, Hebrew, Personalized birth announcement, Newborn Blessing, Jewish Nursery Wall Art by isralove",0
"#JewishGift ideas from #isralove - #MazelTov - Jewish Birth Certificate, Baby Girl Gift, baby naming, Hebrew, Personalized birth announcement, Newborn Blessing, Jewish Nursery Wall Art by isralove",0
"#JewishPrivilege means constantly having 2 deny that u ""control"" the media, banks, the #ZOG, killed Christ, poisoned the well, stole ""Palestine"" from innocent peace loving Arabs, worship Satan, defend urself against the grunts of Mel Gibson morons, ran the slave trade + are ugly. ",0
"#Jews scapegoated for centuries, today they form into blood libels against Zionist #Jews.  The Jew hatred and obsession had no religion or boundaries.",0
#JohnnyFlynn #Zog Zog (from interview),1
#Judaica #Gifts 12 Tribes of #Israel Panels #Art,0
#JUDAISM ON #YOGA: Exercise or Idolatry? – A new video from #Rabbi Michael Skobac –,0
"#KINDLE #UNLIMITED #KOLL #KU #eBOOK. #Action #thriller #adventure. #WWII, the #Holocaust, #Auschwitz, and today. Five of the thirty pieces of silver given to #Judas had been held by Rabbi custodians for almost two thousand years, but are no longer safe.",0
#loveatenframe #zog @juliadonaldson,0
#NeverForget when and where it all began!! And the lightening show was wild too!! Friday night August 17 2018!! Was quite the weekend!!,0
#NowPlaying Scarfo Da Plug - Jewish Money Listen Live At &gt;&gt;,1
"#OTD 11 August 1932 The Alboher family received their Certificate of Immigration to Eretz Israel.  YV's online exhibition ""Monastir: The Story of a Sephardic Community in Macedonia"" traces the history of this community before, during &amp; after the Holocaust ",0
"#OTD in 1942, Hollywood actress/inventor Hedy Lamarr - an Austrian Jew who fled Europe in the lead up to WWII - patented a ""frequency hopping"" device that was the precursor to Wi-Fi, Bluetooth, GPS technology, &amp; more.  #womeninstem #womeninventors #patenthistory #immigrantstories ",0
"#RecLC #RecKP #TeamSuperheroes yesterday, we found an egg in our classroom! We had lots of ideas as to where the egg came from but came to the conclusion it had something to do with Zog the dragon 🐉 ... we cared for the egg, thinking about all the things it might need. #Zog",0
"#RecLC #RecKP After searching high and low for clues, we found a note from the adult dragon asking for our help... this inspired us to challenge ourselves and think carefully about what a dragon should learn, using our phonics to write these ideas down 🐉 #zog #learningisfun",0
#Report him - either through #fakebook or #email  📞Call someone  Stay Strong Stay positive🙏❤  God bless you &amp; your family  ⬇#Life would be #easier⬇,0
#SavePalestine from ISRA-HELL Zionist 'COWARD' Government..!!,1
#SimonCowell  IS OPENLY A   PRO #ETHNIC CLEANSING #ZIONIST #MONSTER   AND BAILS OUT UK #PEDOSADISTS IF ASKED TO !,1
#SimonCowell  IS OPENLY A   PRO #ETHNIC CLEANSING #ZIONIST #MONSTER   AND BAILS OUT UK #PEDOSADISTS IF ASKED TO !,1
#SomosRhemaMundial #Rhema #Rhemanente #Torah #TorahPura #RaicesHebreasDeNuestraFe #TerceraYFinalReforma #JuntosHastaElFinal,0
"#SplashPageoftheDay is from JOURNEY INTO MYSTERY #56/WHERE CREATURES ROAM #6 - ""I Brought Zog Back to Life!"" - by Don Heck. (1960) ",0
#Torah #Recordz,0
"#USA  As long as there are Saudi oil dollars, the looting thoughts of the American rulers are world-eating. As long as the Zionist regime's cancer is in this region, we should watch.",1
#USA #Jew Christmas Candy Bag for Home Decor,0
"#Yashaya our Messiah 📖 Hebrews 7:14 For it is evident that our Lord sprang out of Judah; of which tribe Moses spake nothing concerning priesthood 📖 Jeremiah 11:9 And the Lord said unto me, A #conspiracy is found among the men of Judah, and among the inhabitants of Jerusalem",1
08/10 Links Pt2: Anti-Zionism is Antisemitism; Judea Pearl: A Lesson for Seth Rogen (and All Jews) on Early Zionists and Arabs; The NAACP’s Failure to Deal With Rodney Muhammad’s Antisemitism: From Ian: --- Anti-Zionism is Antisemitism This…,0
1 | #Zionist settlers ambition to ethnically cleanse (transfer/reduce number of Arabs) and to take over entire #Palestine predate 1948 war.,1
"1. Yes indeed the Zionist Entity sees non Jewish inhabitants of Israel as 3rd class citizens. it even sees many Jewish inhabitants if Israel as 2nd class citizens, to the extent of performing Eugenics upon them and spraying them with DDT poison. My point is countering",1
"1) The far majority of Arabs that came into Israel did so in the early 1900s as migrants. 2) In 1948, many returned 'home' to allow 6 Arab armies to massacre the Jews. 3) Those that remained, became 'Palestinian' as a tool to rid the area of Jews.",0
"105 years ago, Princess Geraldine of Albania was born. She was married to King Zog.   Some sources say she was related to George W. Bush (not sure if that is true, but it is a nice story).",0
11 August 1883 | Polish Jew Hersch Singer was born in Mościska.  In #Auschwitz from 12 January 1942. No. 25496 He perished in the camp on 6 April 1942.,0
"11 August 1942 | A transport of 559 Jews deported from #Westerbork in the German-occupied Netherlands arrived at #Auschwitz. After the selection 164 men &amp; 131 women were registered.   The remaining 264 people were killed in a gas chamber, incl. a 2-year old Magdalena Dora Blau.",0
12 August 1922 | Polish Jew Szlama Huberman was born in Radom. A worker.  In #Auschwitz from 1 October 1941. No. 21184 He perished in the camp on 6 November 1941.,0
16 Kaddish Facts Every Jew Should Know,0
1933 Haavara Agreement btwn Third Reich and Zionists to deport Jewish people from Europe to Palestine.,0
2/ ...and due to the ethnic cleansing by Jordan and Egypt of all Jews from areas under their control from 1948 to 1967:,0
"2/2 Many members were murdered during the Great Purge of the late 1930s, including Chairman (and former Chabad Rabbi) Semyon Dimanstein. Because nobody likes a rat - even the guys using the rat.  NOBODY. LIKES. A. RAT.",1
"20. The Virtue of Nationalism  Didn't finish. Yoram Hazony takes a few of the larger historical arguments against liberalism, and continuously repeats them in a loop of Israel-&gt;I'm not racist-&gt;cultural homogeneity-&gt;Israel.   Feels like this should've been an essay.",0
23. “Jonah Hill Felistening Jew”.,0
"3) (1920-30/40's) the creation of Irgun, Stern, and Haganah Zionist terrorist organizations that committed multiple acts of terror in Palestine, against the Palestinians and the British . Ex. The bombing of the King David Hotel in 1946. They disguised themselves as Arabs.",0
4) @ifnotnoworg tells Jews and everyone to vote for an antiSemite:,0
"5X Leather Wrap Beaded Bracelet Boho Chic Jewelry, Bohemian Bracelet .",0
6M Jews are groaning in heaven.,0
6mm Silver Band Stainless Steel Ring Men&amp;#39;s Ring Men&amp;#39;s Band Women&amp;#39;s Ring Women&amp;#39;s Band Gift for Her Gift For Him Men&amp;#39;s jew... Best Prices,0
7 Shirt Bundle Hebrew Israelite Crew Neck T-Shirt with Fringes,0
7. “An Inward Jew”.,1
"82% of Arabs consider themselves Israelis. 18% of Arabs call themselves ‘Palestinians’ starting 1967. The word ‘Palestina’ 1st came into existence in the 5th century BCE. Jews were in the land in 13th century, 1250 BCE. Just in case you skipped 3rd grade, here’s how BCE/CE works",0
99y  Jews Out was one of the Nazi Slogans! #MarxistNationalSocialists are directing hate towards British as the Nazis directed hate towards Jews. Assisted by SF media fronts. Similar to previous generations of #ZombifiedNationalistSocialists   (See above tweets on #HateActivism),0
A behind the scenes look into how TV networks and Zionists recruit sellout black leaders to co-sign bloodthirsty Zionist propaganda,1
A busy morning putting the pictures from Zog into the correct order after Mrs Mitchell’s pesky kitten mixed them all up.,0
"a complimentary audio guide is already included in the price of your visit. You may download this audio guide in English, Spanish, French, Hebrew, Mandarin, German, Polish, or Russian.   More info &amp; tickets:",0
"A day of Zog, sorting b and d and learning the a_e sound! Good work louie!",0
"A few days earlier, a similar ad for the same hotel appeared in Haaretz (aligned with the centrist General Zionists; a few years later it was bought by the Schocken family)",0
A hint:,0
"A Lebanese newspaper in 2017 called Saudi Arabia “the Zionist Saudi”   many “Arab” publications keep calling us Zionists.For only trying to help fellow Arab/Islamic countries with their underwhelming economic issues. But for the sake of peace,we continue helping everyone In need",0
A little #Litecoin is on its way!,0
"A quote from Der Untermensch/The Subhuman, 1942, spreading racism against Jews, Roma, Slavs.  3,860,995 copies in German; translated into Greek, French, Dutch, Danish, Bulgarian, Hungarian, Czech and other languages. Germans knew the power of translation.",1
"A Swastika was painted on the exterior wall of Kesher Israel Synagogue in Harrisburg, PA.  Acts like this seek to do more than spread hate, they aim to intimidate &amp; frighten the Jewish people, but we won’t bow our heads to fear.  Instead, we will seek justice.",0
A town with only a dozen Jews would probably have students that visit and help - it's how I spent many a Passover - but just to use Ukraine as an example...,0
A Visitor to Beit Adar,0
"A week of struggling to improve a deliverable with a colleague. I have a strong suspicion that I’m not the type he likes to get input from. My 9 year old daughter, “it’s like Princess Pearl in Zog and the Flying Doctors”. She’s my sage 💕",0
A whole new world of #flyingdoctors discovered in #ZOG tonight with visiting favourite number two grandbaby thanks #JuliaDonaldson and #AxelScheffler,0
"A young Jewish girl who is being bullied by Zionists because she has a heart, her humanity is a threat because she can't be labelled an antisemite, her exceptional bravery is to her credit as they can make it a lonely place but it doesnt stop her speaking out...Shalom princess ✌",1
Abbey gate,0
Absolutely agree. Money cannot breed because it lacks fecundity.,0
"Absolutely. Apartheid Zionist state existence is based on  their total subjugation of US and UK  conservative governments in giving them free reign to kill, ILLEGALLY annex Palestinian land, and hide behind antisemitism when confronted",1
According to a Hebrew Proverb the best investment is owning a piece of land. #alifrealty #alifterms #hebrewproverb #investment #thoughtoftheday #realestate #Advisor #investmentadvisor #businessowner #businessopportunity #businesstips #realestatetips #investmenttips,0
According to JEWISH author Edwin Black not only did Hitler National socialists collaborate with Zionists but they commemorated coins for the occasion in 1933 for the Haavara (Transfer agreement).  To the zionists not all Jews are the same..,1
"Actually Hilter was advised to kill Jews by a Muslim Imam.  The Grand Mufti of Jerusalem, Haj Amin al-Husseini was the brainchild behind the genocide.  Here is a picture of him &amp; Hitler before the Holocaust.",1
"Adolf Hitler (his father was the illegitimate child of an Zionist banker, the Rothschild and a maid mistress) financed by of course the Rothschilds to drive out his same nation the Jewish (but not the Zionist) from Germany",1
"Africans &amp; Jews  Ol' friends, Familiar enemies.  The Black Pharaoh of Ancient Egypt's 25th dynasty and ruler of the Kingdom of #Kush.  Pharoh Taharqa (710-664 BC) is the Black Pharaoh (mentioned in the Bible) who saved Israel TWICE.",1
"Ah yes Radiohead, my favorite 2000s indie band.",0
akshually the man who killed 6 million Jews is better than this politician who’s tan I don’t like is quite the take,1
"Alan Zimmerman, president of Congregation Beth Israel in #Charlottesville, described that day as Nazis and white supremacists marched past their synagogue – &amp; the righteous who stood with them.",0
"Albania aligned with Austria against their mutual Serb enemies in WWI, resulting in an Austro-Italo-Serb occupation. The postwar situation was chaotic, but King Zog was able to unify 🇦🇱 in 1924 with support of Yugoslav government, his own northern territory &amp; Gheg allies.",0
"Albert pikes letter... Funny how all of this has happened yet we waiting on the 3rd WW which we all know it's coming... Look who's the driving force... Islamic power and Zionist... Imagine that.. if you know the most high ""war"" is coming!!! What side will you be on!!! ",1
Aliens dropped me off here. 👽Minimal resistance on my end.,0
"All Americans have the same rights. You should read the bill of rights, my friend.",0
All those dragon burpees have made them very sleepy! 💤 #pineconesuhps #dragon #zog,0
"All through German-ruled Europe, Jews were a special target. In what became a policy known as “The Final Solution to the Jewish Question,” the Germans aimed not only to kill every last Jew, but also to remove all evidence of the Jewish people’s contribution to human civilization.",0
All you need to do now is tie it up nicely and mission accomplished!,0
All you need to know about this one.,1
ALL ZIONISTS CONTROLLED GET OVER IT RICK,1
also note how Bari positions liberalism as “at root” a Jewish / Hebrew set of ideas being replaced by anti-racism and her notable umbrage at the fact that Ibrahim Kendi has what was once Elie Wiesel’s seat at a university.,1
also this means jews,1
"Also, the Pew research you posted comes in at  85% Zionist at a minimum. If 85% of US Jews are either happy with US support for Israel or feel like it could do more, its not too far fetched to say 85% AT LEAST support Israel's existence, no?",0
Always lovely to see the Rabbi! ❤️#HolbyCity,0
Amazon should stop selling Holocaust denial books' -,0
"Amos Oz one of d greatest Jewish men of d  last 50 years , fought twice to save d State of Israel . Nelson Mandela also supported d State of Israel . Both were Zionists who also supported a Palestinian State n East Jerusalem &amp; West Bank . They would classify u as a Fundamentalist",0
"Amusing article about English zionist Roy Masters, hypnotist, heretic, cult leader and promoter of talk show malefactors like Michael Savage &amp; Chicago's @MancowMuller.",0
Amy really enjoyed doing her Rainbow ZOG Castle,0
"An advert in Hebrew &amp; English inviting Jews living in Mandate Palestine to take part in a popular trip to #Lebanon and #Syria in 1933.  In the years prior to the establishment of #Israel, Jews were welcome to vacation in these countries.  Credit:  Epheme…",0
"AN AMERICAN PICKLE. 18th century Jewish immigrant trapped inside a pickle brine, preserved + wakes up 100 years later in modern day Brooklyn.  Light comedy about family, clash of old vs modern values + cynical look on stereotypes about Jews. Watchable to kill time  #RekomenFilem",0
An Excursion through the Torah -,0
An Excursion through the Torah -,0
"An immigrant family from North Africa, newly arrived in #Israel, 1949.  Photo by Rudi Weissenstein, the Photohouse Collection  Dig deeper into the photograph with our educator resources, here:",0
"Ancient Egypt was not Arab. No peoples or nations know Egypt more so than Israel and Jews do. New kids on the block, empty of Hebrew scripture of Egypt, should reconsider their angst. I am hopeful Gadot will consider an equally challenging Role of the Roman/Hebrew Queen Berenice.",0
"Ancient Egypt was not Arab. No peoples or nations know Egypt more so than Israel and Jews do. New kids on the block, empty of Hebrew scripture of Egypt, should reconsider their angst. I am hopeful Gadot will consider an equally challenging Role of the Roman/Hebrew Queen Berenice.",0
"and #Zog. 🌟   Did you know, the short animated film is currently available to watch on @BBCiPlayer? Perfect for a soggy afternoon - grab a blanket and enjoy!",0
And I'm like..🤣,0
"And if you think that is bad, look at some of urban dictionary's  definitions of  ""Israel"" ",0
And Israel still want us to shed tears about the Holocaust? What is the difference between what they are doing to the Palestinian Children &amp; what Hitler did to them? What a shame! The Jewish hypocrisy must be condemned as vigorously as we condemn Hitler.,1
"And not only the Palestinians, everyone who stood in the Zio Israel way....",1
And now I will back those claims up. ‘Jewish facial features’? You mean hooked noses? You think that’s a ‘Jewish’ feature? Nice. Der Stürmer thought the same thing. There are all kinds of Jews. BAME Jews. Caucasian Jews. We’re all different. But you? Think we’re all the same.,1
And the Joker draws the line at Nazis too,0
And this is what happened when the U.K. Jewish minority talked about ‘discrimination against them’. You discounted it. You explained it away. More than 90% of U.K. Jews believed Corbyn was anti-Semitic. Are we just stupid people believing propaganda as you suggest?,0
And to think we could have had him,0
"And while we’re at it, let’s parse this pretty little comment shall we? First of all let’s question why you didn’t just accept that it was racist. You had to find a couple of Jews to check.  Secondly here are the artist’s own words re ‘Rothschilds+Warburgs’...",0
"And yet he was an olive-skinned, middle eastern Jew, routinely depicted in the US as looking like this:  #WhitePrivilege",0
And you are wrong. JEWS ARE INDIGENOUS,0
"And, just like that..carbon dioxide became a good thing..",0
"Annual leave = dying my hair at last, watching Zog at least 12 times, making a curry, messy painting &amp; reading mindless novels.",0
another Gruffalo spotted in Zog,0
"Another zionist i see, you’re embarrasing yourself just stop❤️",1
Anti Kerri Kraven Dance! Yes the porn star. Yes that's why Molly got hurt probably. Yes she still hates Czech Jews.,0
"Anti-fascist history lesson: Zionists fought *actual fascists* as partizans, ghetto fighters &amp; in the Jewish Brigade. Palestinians didn't. Zionists killed Nazis; Palestinians killed Zionists. &amp; the most important figure in the formation of Palestinian nat'lism? An actual fascist.",0
"Anti-normalization is another term for antisemitism:   One of the dirtiest words in both Arab and BDS media is “normalization” – anything that treats Israel and Israeli Jews as anything but disgusting entities. In 2011, +972 Magazine once…",1
"Anti-Zionists on Twitter: Jews don't belong in Israel, Israel doesn't deserve to exist, Zionists are ugly, Jooos...  Me:",1
"Antique Kiddush Cup, Metal Goblet, Traditional Jewish Metal Cup, #Judaica #Hebrew #WineBlessing Gift for him",0
"Antisemitic people have Bella hadid, Zionists have Harry styles. It’s not about winners or losers but we won.",0
"Antizionism by...Varg Vikernes, who cannot legally speak to what he wants for Jews...  Sharing ideological spaces with David Duke wannabes must a real mind f*ck.",0
